city,state_id,state_name,county_name,population
Dunseith,ND,North Dakota,Rolette,4555
Mylo,ND,North Dakota,Rolette,5073
Antler,ND,North Dakota,Bottineau,3907
Bottineau,ND,North Dakota,Bottineau,6624
Gardena,ND,North Dakota,Bottineau,4354
Kramer,ND,North Dakota,Bottineau,3921
Landa,ND,North Dakota,Bottineau,874
Lansford,ND,North Dakota,Bottineau,5146
Maxbass,ND,North Dakota,Bottineau,873
Newburg,ND,North Dakota,Bottineau,715
Overly,ND,North Dakota,Bottineau,6308
Canton City,ND,North Dakota,Pembina,3688
Crystal,ND,North Dakota,Pembina,1363
Drayton,ND,North Dakota,Pembina,3742
Hamilton,ND,North Dakota,Pembina,6871
Mountain,ND,North Dakota,Pembina,632
Neche,ND,North Dakota,Pembina,2101
Pembina,ND,North Dakota,Pembina,3560
Cando,ND,North Dakota,Towner,1280
Egeland,ND,North Dakota,Towner,6100
Hansboro,ND,North Dakota,Towner,2626
Perth,ND,North Dakota,Towner,1565
Rocklake,ND,North Dakota,Towner,3095
Alsen,ND,North Dakota,Cavalier,750
Calio,ND,North Dakota,Cavalier,2818
Calvin,ND,North Dakota,Cavalier,5252
Hannah,ND,North Dakota,Cavalier,6558
Langdon,ND,North Dakota,Cavalier,1263
Loma,ND,North Dakota,Cavalier,5663
Milton,ND,North Dakota,Cavalier,6307
Munich,ND,North Dakota,Cavalier,6838
Nekoma,ND,North Dakota,Cavalier,627
Osnabrock,ND,North Dakota,Cavalier,1261
Ambrose,ND,North Dakota,Divide,4594
Crosby,ND,North Dakota,Divide,5772
Fortuna,ND,North Dakota,Divide,4048
Noonan,ND,North Dakota,Divide,4451
Bowbells,ND,North Dakota,Burke,2824
Flaxton,ND,North Dakota,Burke,4375
Lignite,ND,North Dakota,Burke,4107
Portal,ND,North Dakota,Burke,321
Powers Lake,ND,North Dakota,Burke,4042
Glenburn,ND,North Dakota,Renville,2389
Grano,ND,North Dakota,Renville,3720
Loraine,ND,North Dakota,Renville,3026
Mohall,ND,North Dakota,Renville,6004
Burlington,ND,North Dakota,Ward,295
Carpio,ND,North Dakota,Ward,3045
Des Lacs,ND,North Dakota,Ward,5072
Donnybrook,ND,North Dakota,Ward,566
Douglas,ND,North Dakota,Ward,5528
Kenmare,ND,North Dakota,Ward,1221
Makoti,ND,North Dakota,Ward,238
Minot,ND,North Dakota,Ward,1034
Alamo,ND,North Dakota,Williams,6765
Epping,ND,North Dakota,Williams,6518
Grenora,ND,North Dakota,Williams,6926
Ray,ND,North Dakota,Williams,6204
Anamoose,ND,North Dakota,McHenry,1737
Upham,ND,North Dakota,McHenry,668
Velva,ND,North Dakota,McHenry,694
Voltaire,ND,North Dakota,McHenry,4447
Deering,ND,North Dakota,McHenry,1355
Drake,ND,North Dakota,McHenry,310
Granville,ND,North Dakota,McHenry,995
Karlsruhe,ND,North Dakota,McHenry,4473
Kief,ND,North Dakota,McHenry,1090
New Town,ND,North Dakota,Mountrail,6822
Palermo,ND,North Dakota,Mountrail,1803
Parshall,ND,North Dakota,Mountrail,2891
Plaza,ND,North Dakota,Mountrail,5132
Brocket,ND,North Dakota,Ramsey,3033
Crary,ND,North Dakota,Ramsey,5654
Edmore,ND,North Dakota,Ramsey,1238
Hampden,ND,North Dakota,Ramsey,847
Lawton,ND,North Dakota,Ramsey,1982
Ardoch,ND,North Dakota,Walsh,4809
Edinburg,ND,North Dakota,Walsh,1056
Fairdale,ND,North Dakota,Walsh,6803
Fordville,ND,North Dakota,Walsh,6558
Forest River,ND,North Dakota,Walsh,5748
Grafton,ND,North Dakota,Walsh,1298
Hoople,ND,North Dakota,Walsh,4509
Lankin,ND,North Dakota,Walsh,2932
Minto,ND,North Dakota,Walsh,4121
Park River,ND,North Dakota,Walsh,5971
Pisek,ND,North Dakota,Walsh,2384
Brinsmade,ND,North Dakota,Benson,2774
Esmond,ND,North Dakota,Benson,3742
Knox,ND,North Dakota,Benson,1065
Leeds,ND,North Dakota,Benson,3003
Maddock,ND,North Dakota,Benson,6253
Minnewaukan,ND,North Dakota,Benson,3244
Oberon,ND,North Dakota,Benson,1339
Aneta,ND,North Dakota,Nelson,125
Lakota,ND,North Dakota,Nelson,4700
McVille,ND,North Dakota,Nelson,2720
Pekin,ND,North Dakota,Nelson,2985
Petersburg,ND,North Dakota,Nelson,2184
Emerado,ND,North Dakota,Grand Forks,3890
Gilby,ND,North Dakota,Grand Forks,5647
Grand Forks,ND,North Dakota,Grand Forks,5426
Inkster,ND,North Dakota,Grand Forks,2047
Larimore,ND,North Dakota,Grand Forks,6024
Manvel,ND,North Dakota,Grand Forks,150
Niagara,ND,North Dakota,Grand Forks,239
Northwood,ND,North Dakota,Grand Forks,6337
Reynolds,ND,North Dakota,Grand Forks,4221
Alexander,ND,North Dakota,McKenzie,4118
Arnegard,ND,North Dakota,McKenzie,1420
Butte,ND,North Dakota,McLean,5411
Garrison,ND,North Dakota,McLean,4221
Max,ND,North Dakota,McLean,1706
Mercer,ND,North Dakota,McLean,4570
Riverdale,ND,North Dakota,McLean,5064
New Rockford,ND,North Dakota,Eddy,487
Bowdon,ND,North Dakota,Wells,1112
Fessenden,ND,North Dakota,Wells,3563
Hamberg,ND,North Dakota,Wells,6514
Harvey,ND,North Dakota,Wells,6451
Hurdsfield,ND,North Dakota,Wells,1943
Goodrich,ND,North Dakota,Sheridan,2670
McClusky,ND,North Dakota,Sheridan,2529
Martin,ND,North Dakota,Sheridan,6754
Dodge,ND,North Dakota,Dunn,6023
Dunn Center,ND,North Dakota,Dunn,1519
Halliday,ND,North Dakota,Dunn,5686
Killdeer,ND,North Dakota,Dunn,3065
Finley,ND,North Dakota,Steele,2779
Hope,ND,North Dakota,Steele,313
Luverne,ND,North Dakota,Steele,4213
Hannaford,ND,North Dakota,Griggs,6934
Buxton,ND,North Dakota,Traill,4698
Galesburg,ND,North Dakota,Traill,3345
Hatton,ND,North Dakota,Traill,6635
Hillsboro,ND,North Dakota,Traill,6901
Mayville,ND,North Dakota,Traill,178
Portland,ND,North Dakota,Traill,3809
Carrington,ND,North Dakota,Foster,3041
Glenfield,ND,North Dakota,Foster,5588
Grace City,ND,North Dakota,Foster,3500
McHenry,ND,North Dakota,Foster,665
Golden Valley,ND,North Dakota,Mercer,2517
Hazen,ND,North Dakota,Mercer,3574
Pick City,ND,North Dakota,Mercer,3730
Caribou,ME,Maine,Aroostook,6621
Presque Isle,ME,Maine,Aroostook,2681
Medora,ND,North Dakota,Billings,3965
Golva,ND,North Dakota,Golden Valley,1621
Dawson,ND,North Dakota,Kidder,6152
Pettibone,ND,North Dakota,Kidder,345
Robinson,ND,North Dakota,Kidder,3157
Buchanan,ND,North Dakota,Stutsman,892
Jamestown,ND,North Dakota,Stutsman,3911
Kensal,ND,North Dakota,Stutsman,4086
Medina,ND,North Dakota,Stutsman,4270
Montpelier,ND,North Dakota,Stutsman,5401
Pingree,ND,North Dakota,Stutsman,1388
Lincoln,ND,North Dakota,Burleigh,4714
Regan,ND,North Dakota,Burleigh,1871
Valley City,ND,North Dakota,Barnes,4312
Dazey,ND,North Dakota,Barnes,2881
Fingal,ND,North Dakota,Barnes,5576
Kathryn,ND,North Dakota,Barnes,1789
Leal,ND,North Dakota,Barnes,108
Litchville,ND,North Dakota,Barnes,222
Nome,ND,North Dakota,Barnes,2377
Oriska,ND,North Dakota,Barnes,1335
Pillsbury,ND,North Dakota,Barnes,5525
Alice,ND,North Dakota,Cass,6810
Amenia,ND,North Dakota,Cass,1446
Argusville,ND,North Dakota,Cass,2024
Arthur,ND,North Dakota,Cass,2410
Briarwood,ND,North Dakota,Cass,3808
Buffalo,ND,North Dakota,Cass,4734
Casselton,ND,North Dakota,Cass,5368
Davenport,ND,North Dakota,Cass,2615
Fargo,ND,North Dakota,Cass,872
Frontier,ND,North Dakota,Cass,315
Gardner,ND,North Dakota,Cass,2816
Grandin,ND,North Dakota,Cass,3880
Harwood,ND,North Dakota,Cass,3459
Horace,ND,North Dakota,Cass,3450
Hunter,ND,North Dakota,Cass,4791
Kindred,ND,North Dakota,Cass,320
Leonard,ND,North Dakota,Cass,4111
Mapleton,ND,North Dakota,Cass,2019
North River,ND,North Dakota,Cass,3220
Page,ND,North Dakota,Cass,1907
Prairie Rose,ND,North Dakota,Cass,5453
Reile's Acres,ND,North Dakota,Cass,3841
Hill City,MN,Minnesota,Aitkin,6781
Dickinson,ND,North Dakota,Stark,2909
Gladstone,ND,North Dakota,Stark,235
Richardton,ND,North Dakota,Stark,2550
Almont,ND,North Dakota,Morton,2582
Flasher,ND,North Dakota,Morton,3658
Glen Ullin,ND,North Dakota,Morton,528
Hebron,ND,North Dakota,Morton,4206
Mandan,ND,North Dakota,Morton,6926
New Salem,ND,North Dakota,Morton,5402
Carson,ND,North Dakota,Grant,2753
Elgin,ND,North Dakota,Grant,1871
